

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   166.00000 -0.254548E+02  0.274929E+02 -0.262498E+02  0.274929E+02 -0.185363E+02   -317.543   -276.672   -179.533     166
   167.00000 -0.251654E+02  0.274969E+02 -0.259604E+02  0.274969E+02 -0.185497E+02   -434.137   -324.711   -180.055     167
   168.00000 -0.248735E+02  0.275017E+02 -0.256685E+02  0.275017E+02 -0.185629E+02   -646.302   -396.902   -180.573     168
   169.00000 -0.247350E+02  0.275044E+02 -0.255300E+02  0.275044E+02 -0.185761E+02   -478.623   -365.649   -181.086     169
   170.00000 -0.244733E+02  0.275102E+02 -0.252683E+02  0.275102E+02 -0.185891E+02   -886.969   -444.385   -181.594     170
   171.00000 -0.321902E+02  0.275172E+02 -0.329852E+02  0.275172E+02 -0.186020E+02    -27.249    -28.093   -182.098     171
   172.00000 -0.319595E+02  0.275236E+02 -0.327545E+02  0.275236E+02 -0.186148E+02    -88.403    -80.881   -182.596     172
   173.00000 -0.317074E+02  0.275313E+02 -0.325024E+02  0.275313E+02 -0.186275E+02   -106.151    -95.516   -183.090     173
   174.00000 -0.319972E+02  0.275346E+02 -0.327922E+02  0.275346E+02 -0.186401E+02    -90.283    -86.729   -183.578     174
   175.00000 -0.318398E+02  0.275403E+02 -0.326348E+02  0.275403E+02 -0.186525E+02   -111.653   -100.972   -184.060     175
   176.00000 -0.347562E+02  0.275428E+02 -0.355512E+02  0.275428E+02 -0.186649E+02    -45.554    -46.419   -184.538     176
   177.00000 -0.392363E+02  0.275490E+02 -0.400313E+02  0.275490E+02 -0.186771E+02    -33.347    -32.249   -185.011     177
   178.00000 -0.390649E+02  0.275566E+02 -0.398599E+02  0.275566E+02 -0.186893E+02    -75.687    -64.961   -185.479     178
   179.00000 -0.388926E+02  0.275648E+02 -0.396877E+02  0.275648E+02 -0.187013E+02    -88.577    -76.837   -185.942     179
   180.00000 -0.438703E+02  0.275681E+02 -0.446654E+02  0.275681E+02 -0.187132E+02    -31.690    -30.536   -186.399     180
   181.00000 -0.436667E+02  0.275797E+02 -0.444617E+02  0.275797E+02 -0.187250E+02    -75.876    -63.868   -186.852     181
   182.00000 -0.437932E+02  0.275880E+02 -0.445882E+02  0.275880E+02 -0.187367E+02    -78.197    -68.268   -187.300     182
   183.00000 -0.436873E+02  0.275984E+02 -0.444823E+02  0.275984E+02 -0.187483E+02    -91.088    -77.969   -187.743     183
   184.00000 -0.437601E+02  0.276147E+02 -0.445551E+02  0.276147E+02 -0.187598E+02    -90.539    -79.256   -188.181     184
   185.00000 -0.435842E+02  0.276282E+02 -0.443792E+02  0.276282E+02 -0.187712E+02   -105.504    -88.773   -188.614     185
